sex,country,year,suicide,population,total_gdp,suicides_per_100k,gdp_per_capita
female,Estonia,2014,48.0,664500.0,157347734706.0,7.223476297968397,236791.1733724605
female,Estonia,2015,36.0,664414.0,135401741892.0,5.418308464300873,203791.22338180713
female,Estonia,2016,36.0,664414.0,135401741892.0,5.418308464300873,203791.22338180713
female,Finland,1985,298.0,2387200.0,549852563238.0,12.48324396782842,230333.68098106567
female,Finland,1986,298.0,2387200.0,549852563238.0,12.48324396782842,230333.68098106567
female,Finland,1987,298.0,2387200.0,549852563238.0,12.48324396782842,230333.68098106567
female,Finland,1988,295.0,2396300.0,654618336888.0,12.310645578600342,273178.7910061345
female,Finland,1989,295.0,2405700.0,714388249968.0,12.262543126740656,296956.49913455546
female,Finland,1990,319.0,2414700.0,849105893328.0,13.210750817906986,351640.32522797864
female,Finland,1991,303.0,2425100.0,767198941332.0,12.494330130716259,316357.6517801328
female,Finland,1992,295.0,2434600.0,675752588268.0,12.116980202086586,277562.0587644788
female,Finland,1993,291.0,2443500.0,535534506090.0,11.90914671577655,219166.9760957643
female,Finland,1994,307.0,2452200.0,619929425154.0,12.519370361308214,252805.40949106924
female,Finland,1995,308.0,2461000.0,805196078430.0,12.51523770824868,327182.4780292564
female,Finland,1996,282.0,2470500.0,792596427648.0,11.414693381906496,320824.29777292046
female,Finland,1997,284.0,2479800.0,760998740124.0,11.452536494878618,306879.0790079845
female,Finland,1998,266.0,2489433.0,803618157546.0,10.68516405141251,322811.7236117622
female,Finland,1999,253.0,2498287.0,811355209890.0,10.126938978588129,324764.6126686005
female,Finland,2000,292.0,2505936.0,753239358762.0,11.65233270123419,300582.04150544945
female,Finland,2001,271.0,2513156.0,775500671142.0,10.783254203081704,308576.41592563293
female,Finland,2002,271.0,2520068.0,837317899494.0,10.753678075353521,332260.0419885495
female,Finland,2003,260.0,2525902.0,1026426636570.0,10.293352632049858,406360.43542861124
female,Finland,2004,252.0,2532379.0,1180608393342.0,9.951117111617178,466205.25337716035
female,Finland,2005,270.0,2540007.0,1226616092526.0,10.629891964864663,482918.39058947476
female,Finland,2006,259.0,2548058.0,1299315016938.0,10.164603788453794,509923.64260860626
female,Finland,2007,244.0,2556619.0,1532307692310.0,9.543854598592908,599349.2547422983
female,Finland,2008,232.0,2565736.0,1702454958252.0,9.04223973160138,663534.735550345
female,Finland,2009,273.0,2575455.0,1508994165048.0,10.600068725720309,585913.62110695
female,Finland,2010,236.0,2584968.0,1486798894608.0,9.129706828092262,575171.102546724
female,Finland,2011,202.0,2595065.0,1642045420638.0,7.784005410269106,632756.9523838516
female,Finland,2012,218.0,2605948.0,1540238796546.0,8.365477745526773,591047.4025368119
female,Finland,2013,221.0,2617028.0,1619880669858.0,8.444693751843694,618977.2023295127
female,Finland,2014,190.0,2628022.0,1635655732140.0,7.2297720490924355,622390.4260086103
female,Finland,2015,173.0,2637592.0,1394788998396.0,6.559012917843245,528811.5062511563
female,Finland,2016,173.0,2637592.0,1394788998396.0,6.559012917843245,528811.5062511563
female,France,1985,3603.0,26422100.0,3318830486202.0,13.63631202667464,125608.12676517006
female,France,1986,3657.0,26558500.0,4628824699308.0,13.769602951973944,174287.8814431538
female,France,1987,3574.0,26702400.0,5605039834116.0,13.384564683324346,209907.7174379831
female,France,1988,3365.0,26838800.0,6113082259662.0,12.537818382341984,227770.32727476637
female,France,1989,3372.0,26969100.0,6151270820484.0,12.50319810449737,228085.87681769134
female,France,1990,3225.0,27263800.0,7615077701484.0,11.828871984096127,279310.9435032534
female,France,1991,3281.0,27429500.0,7615660969656.0,11.96157421753951,277644.9067484278
female,France,1992,3202.0,27599900.0,8408795539032.0,11.601491309751122,304667.6089055395
