,year,country,gdp_per_capita,suicides_per_100k,unemployment_rate
244,2005,Iceland,60712.0,12.003098981918969,2.55
245,2005,Italy,33536.0,6.773501670477288,7.73
246,2005,Luxembourg,85397.0,11.204148736217752,4.49
247,2005,Malta,16648.0,4.946486822819445,6.92
248,2005,Netherlands,44289.0,10.273752422800811,5.87
249,2005,Norway,71215.0,12.29501011743234,4.38
250,2005,Romania,4847.0,12.654375604036176,7.17
251,2005,Russian Federation,5611.0,33.6378253490354,7.12
252,2005,Spain,28092.0,8.250905396682,9.15
253,2005,Sweden,45563.0,14.27630494093662,7.49
254,2005,United Kingdom,44372.0,7.123868207980479,4.75
255,2006,Austria,42698.0,16.481835860484626,5.24
256,2006,Belgium,41135.0,19.422441823513346,8.25
257,2006,Finland,43487.0,21.326414632089225,7.72
258,2006,Germany,38088.0,12.400259731844352,10.25
259,2006,Greece,25739.0,3.710368625122906,9.01
260,2006,Hungary,12021.0,25.659178134751865,7.49
261,2006,Iceland,60243.0,11.307460450390284,2.83
262,2006,Italy,34578.0,6.585894878580306,6.78
263,2006,Luxembourg,95351.0,14.61261945816407,4.73
264,2006,Malta,17504.0,6.735088255560333,6.8
265,2006,Netherlands,47281.0,9.922767037439804,5.0
266,2006,Norway,79007.0,12.168057339911709,3.4
267,2006,Romania,6018.0,13.255995487992362,7.27
268,2006,Russian Federation,7313.0,31.482564293352365,7.06
269,2006,Spain,30246.0,7.766298655251156,8.45
270,2006,Sweden,48977.0,13.95748435992166,7.07
271,2006,United Kingdom,47163.0,7.220035883333118,5.35
272,2007,Austria,49218.0,16.271441581346064,4.86
273,2007,Belgium,47040.0,18.513965631619342,7.46
274,2007,Finland,51089.0,19.90456610746505,6.85
275,2007,Germany,43667.0,11.943904397480544,8.66
276,2007,Greece,29896.0,3.078774095983223,8.4
277,2007,Hungary,14609.0,25.592978874406167,7.41
278,2007,Iceland,73590.0,12.771303915612746,2.25
279,2007,Italy,38935.0,6.639735649095926,6.08
280,2007,Luxembourg,112581.0,17.256179039494526,4.07
281,2007,Malta,20333.0,6.708275173447615,6.47
282,2007,Netherlands,54418.0,8.777727960966208,4.15
283,2007,Norway,90797.0,10.979386145916267,2.49
284,2007,Romania,8593.0,11.868116797507364,6.41
285,2007,Russian Federation,9643.0,30.530728816108127,6.0
286,2007,Spain,34769.0,7.671457245716048,8.23
287,2007,Sweden,56531.0,13.048780304082936,6.16
288,2007,United Kingdom,53576.0,6.79123869910956,5.26
289,2008,Austria,54294.0,15.986861247924042,4.13
290,2008,Belgium,51345.0,19.7904136780568,6.98
291,2008,Finland,56521.0,20.577295732989967,6.37
292,2008,Germany,47702.0,12.024745270600564,7.52
293,2008,Greece,33168.0,3.490312231354738,7.76
294,2008,Hungary,16540.0,25.919145664761185,7.82
295,2008,Iceland,59489.0,12.80168173671657,2.95
296,2008,Italy,41935.0,6.847942437992048,6.72
297,2008,Luxembourg,121315.0,9.34029293765246,5.06
298,2008,Malta,23007.0,3.587949614936122,5.98
299,2008,Netherlands,60375.0,9.279702285998876,3.65
300,2008,Norway,103431.0,11.29226184899272,2.55
301,2008,Romania,10454.0,12.09760121500633,5.79
302,2008,Russian Federation,12359.0,28.43377621271998,6.21
303,2008,Spain,37848.0,8.00241039916125,11.25
304,2008,Sweden,59155.0,13.466069647893354,6.23
305,2008,United Kingdom,50111.0,7.383410248624162,5.62
306,2009,Austria,50356.0,16.081754708191653,5.3
307,2009,Belgium,47630.0,19.786961365589324,7.91
308,2009,Finland,49878.0,20.506449813934708,8.25
309,2009,Germany,43570.0,12.21054264293964,7.74
310,2009,Greece,30785.0,3.6475180365569,9.62
311,2009,Hungary,13697.0,25.801750050895528,10.03
312,2009,Iceland,43700.0,12.153785904309192,7.22
313,2009,Italy,38101.0,6.929159889056722,7.75
314,2009,Luxembourg,109483.0,10.229982800841416,5.12
315,2009,Malta,21695.0,9.1579284765786,6.89
316,2009,Netherlands,54988.0,9.80632445115348,4.35
317,2009,Norway,85394.0,12.65589053295214,3.1
318,2009,Romania,8465.0,12.682139007032657,6.86
319,2009,Russian Federation,9118.0,27.898630867679717,8.3
320,2009,Spain,34470.0,7.884555574344001,17.86
321,2009,Sweden,49070.0,14.184685519126369,8.35
322,2009,United Kingdom,41074.0,7.318978654627964,7.54
323,2010,Austria,49181.0,15.862615692619654,4.82
324,2010,Belgium,47355.0,19.713703746612413,8.29
325,2010,Finland,48939.0,18.840745145545743,8.39
326,2010,Germany,43614.0,12.80168403281688,6.97
327,2010,Greece,27886.0,3.511751419418253,12.71
328,2010,Hungary,13761.0,26.161432540764903,11.17
329,2010,Iceland,45179.0,15.613332428212614,7.56
330,2010,Italy,36869.0,6.920800280468511,8.36
331,2010,Luxembourg,111328.0,11.297567466353124,4.36
332,2010,Malta,22132.0,7.849114695821486,6.85
333,2010,Netherlands,53302.0,10.22215404620452,4.99
334,2010,Norway,93638.0,11.957533300530123,3.52
335,2010,Romania,8190.0,13.593040009683197,6.96
336,2010,Russian Federation,11307.0,24.732700024654843,7.37
337,2010,Spain,32839.0,7.243890840116089,19.86
338,2010,Sweden,55352.0,12.931926046610467,8.61
339,2010,United Kingdom,41798.0,7.170799559047194,7.79
340,2011,Austria,53923.0,16.109774605742036,4.56
341,2011,Belgium,50893.0,20.16392654227481,7.14
342,2011,Finland,53809.0,17.93162976296627,7.78
343,2011,Germany,47947.0,12.955024005010008,5.82
344,2011,Greece,26825.0,4.446008677266747,17.86
345,2011,Hungary,14827.0,25.48706894599701,11.03
346,2011,Iceland,49861.0,9.13782891953634,7.03
347,2011,Italy,40210.0,7.336140380058,8.36
348,2011,Luxembourg,122729.0,11.249330153522678,4.9
349,2011,Malta,23984.0,5.045115949377307,6.38
350,2011,Netherlands,56667.0,10.461470025479068,4.98
351,2011,Norway,107430.0,12.878771563327806,3.21
352,2011,Romania,9086.0,12.497720127060813,7.18
353,2011,Russian Federation,15226.0,23.034471541592435,6.54
